,,,,,,,,,,,
编码,品名,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,单位,单重,单重单位,备注
SBN00100,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M14,个,,Kg,
SBN00101,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M16,个,,Kg,
SBN00102,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M20,个,,Kg,
SBN00103,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M24,个,,Kg,
SBN00104,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M27,个,,Kg,
SBN00105,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M30,个,,Kg,
SBN00106,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M33,个,,Kg,
SBN00107,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M36,个,,Kg,
SBN00108,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M39,个,,Kg,
SBN00109,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M42,个,,Kg,
SBN00110,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M45,个,,Kg,
SBN00111,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M48,个,,Kg,
SBN00112,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M52,个,,Kg,
SBN00113,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M56,个,,Kg,
SBN00114,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M64,个,,Kg,
SBN00115,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M70,个,,Kg,
SBN00116,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M76,个,,Kg,
SBN00117,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M90,个,,Kg,
SBN00118,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M14,个,,Kg,
SBN00119,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M16,个,,Kg,
SBN00120,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M20,个,,Kg,
SBN00121,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M24,个,,Kg,
SBN00122,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M27,个,,Kg,
SBN00123,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M30,个,,Kg,
SBN00124,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M33,个,,Kg,
SBN00125,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M36,个,,Kg,
SBN00126,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M39,个,,Kg,
SBN00127,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M42,个,,Kg,
SBN00128,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M45,个,,Kg,
SBN00129,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M48,个,,Kg,
SBN00130,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M52,个,,Kg,
SBN00131,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M56,个,,Kg,
SBN00132,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M64,个,,Kg,
SBN00133,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M70,个,,Kg,
SBN00134,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M76,个,,Kg,
SBN00135,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M90,个,,Kg,
SBN00136,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M14,个,,Kg,
SBN00137,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M16,个,,Kg,
SBN00138,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M20,个,,Kg,
SBN00139,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M24,个,,Kg,
SBN00140,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M27,个,,Kg,
SBN00141,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M30,个,,Kg,
SBN00142,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M33,个,,Kg,
SBN00143,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M36,个,,Kg,
SBN00144,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M39,个,,Kg,
SBN00145,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M42,个,,Kg,
SBN00146,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M45,个,,Kg,
SBN00147,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M48,个,,Kg,
SBN00148,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M52,个,,Kg,
SBN00149,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M56,个,,Kg,
SBN00150,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M64,个,,Kg,
SBN00151,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M70,个,,Kg,
SBN00152,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M76,个,,Kg,
SBN00153,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M90,个,,Kg,
SBN00154,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M14,个,,Kg,
SBN00155,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M16,个,,Kg,
SBN00156,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M20,个,,Kg,
SBN00157,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M24,个,,Kg,
SBN00158,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M27,个,,Kg,
SBN00159,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M30,个,,Kg,
SBN00160,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M33,个,,Kg,
SBN00161,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M36,个,,Kg,
SBN00162,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M39,个,,Kg,
SBN00163,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M42,个,,Kg,
SBN00164,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M45,个,,Kg,
SBN00165,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M48,个,,Kg,
SBN00166,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M52,个,,Kg,
SBN00167,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M56,个,,Kg,
SBN00168,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M64,个,,Kg,
SBN00169,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M70,个,,Kg,
SBN00170,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M76,个,,Kg,
SBN00171,1型六角螺母,12Cr13,CP05T3030,GB/T 6170-2015,NA,QNCa,M90,个,,Kg,
SBN00172,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M14,个,,Kg,
SBN00173,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M16,个,,Kg,
SBN00174,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M20,个,,Kg,
SBN00175,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M24,个,,Kg,
SBN00176,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M27,个,,Kg,
SBN00177,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M30,个,,Kg,
SBN00178,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M33,个,,Kg,
SBN00179,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M36,个,,Kg,
SBN00180,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M39,个,,Kg,
SBN00181,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M42,个,,Kg,
SBN00182,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M45,个,,Kg,
SBN00183,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M48,个,,Kg,
SBN00184,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M52,个,,Kg,
SBN00185,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M56,个,,Kg,
SBN00186,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M64,个,,Kg,
SBN00187,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M70,个,,Kg,
SBN00188,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M76,个,,Kg,
SBN00189,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M90,个,,Kg,
SBN00190,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M14,个,,Kg,
SBN00191,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M16,个,,Kg,
SBN00192,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M20,个,,Kg,
SBN00193,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M24,个,,Kg,
SBN00194,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M27,个,,Kg,
SBN00195,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M30,个,,Kg,
SBN00196,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M33,个,,Kg,
SBN00197,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M36,个,,Kg,
SBN00198,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M39,个,,Kg,
SBN00199,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M42,个,,Kg,
SBN00200,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M45,个,,Kg,
SBN00201,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M48,个,,Kg,
SBN00202,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M52,个,,Kg,
SBN00203,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M56,个,,Kg,
SBN00204,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M64,个,,Kg,
SBN00205,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M70,个,,Kg,
SBN00206,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M76,个,,Kg,
SBN00207,1型六角螺母,45,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M90,个,,Kg,
SBN00208,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M14,个,,Kg,
SBN00209,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M16,个,,Kg,
SBN00210,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M20,个,,Kg,
SBN00211,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M24,个,,Kg,
SBN00212,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M27,个,,Kg,
SBN00213,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M30,个,,Kg,
SBN00214,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M33,个,,Kg,
SBN00215,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M36,个,,Kg,
SBN00216,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M39,个,,Kg,
SBN00217,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M42,个,,Kg,
SBN00218,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M45,个,,Kg,
SBN00219,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M48,个,,Kg,
SBN00220,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M52,个,,Kg,
SBN00221,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M56,个,,Kg,
SBN00222,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M64,个,,Kg,
SBN00223,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M70,个,,Kg,
SBN00224,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M76,个,,Kg,
SBN00225,1型六角螺母,45,CP05T3030,GB/T 6170-2015,NA,QNCa,M90,个,,Kg,
SBN00226,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M5,个,,Kg,
SBN00227,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M5,个,,Kg,
SBN00228,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M6,个,,Kg,
SBN00229,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M6,个,,Kg,
SBN00230,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M8,个,,Kg,
SBN00231,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M8,个,,Kg,
SBN00232,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M10,个,,Kg,
SBN00233,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M10,个,,Kg,
SBN00234,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M12,个,,Kg,
SBN00235,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M12,个,,Kg,
SBN00236,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M14,个,,Kg,
SBN00237,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M14,个,,Kg,
SBN00239,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M16,个,,Kg,
SBN00240,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M16,个,,Kg,
SBN00241,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M18,个,,Kg,
SBN00242,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M18,个,,Kg,
SBN00243,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M20,个,,Kg,
SBN00244,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M20,个,,Kg,
SBN00245,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M22,个,,Kg,
SBN00246,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M22,个,,Kg,
SBN00247,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M24,个,,Kg,
SBN00248,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M24,个,,Kg,
SBN00249,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M27,个,,Kg,
SBN00250,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M27,个,,Kg,
SBN00251,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M30,个,,Kg,
SBN00252,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M33,个,,Kg,
SBN00253,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M33,个,,Kg,
SBN00254,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M36,个,,Kg,
SBN00255,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M42,个,,Kg,
SBN00256,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M52,个,,Kg,
SBN00257,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M60,个,,Kg,
SBN00258,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M64,个,,Kg,
SBN00259,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M6,个,,Kg,
SBN00260,1型六角螺母,06Cr19Ni10,CP05T3040,GB/T 6170-2015,S1,QA3,M6,个,,Kg,
SBN00261,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M8,个,,Kg,
SBN00262,1型六角螺母,06Cr19Ni10,CP05T3040,GB/T 6170-2015,S1,QA3,M8,个,,Kg,
SBN00263,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M10,个,,Kg,
SBN00264,1型六角螺母,06Cr19Ni10,CP05T3040,GB/T 6170-2015,S1,QA3,M10,个,,Kg,
SBN00265,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M12,个,,Kg,
SBN00266,1型六角螺母,06Cr19Ni10,CP05T3040,GB/T 6170-2015,S1,QA3,M12,个,,Kg,
SBN00268,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M14,个,,Kg,
SBN00269,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M16,个,,Kg,
SBN00270,1型六角螺母,06Cr19Ni10,CP05T3040,GB/T 6170-2015,S1,QA3,M16,个,,Kg,
SBN00272,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M18,个,,Kg,
SBN00273,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M20,个,,Kg,
SBN00275,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M22,个,,Kg,
SBN00276,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M24,个,,Kg,
SBN00277,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M27,个,,Kg,
SBN00278,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M30,个,,Kg,
SBN00279,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M33,个,,Kg,
SBN00280,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M36,个,,Kg,
SBN00281,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M42,个,,Kg,
SBN00282,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M52,个,,Kg,
SBN00283,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M60,个,,Kg,
SBN00284,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M64,个,,Kg,
SBN00285,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M10,个,,Kg,
SBN00286,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M12,个,,Kg,
SBN00287,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M16,个,,Kg,
SBN00288,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M24,个,,Kg,
SBN00289,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M42,个,,Kg,
SBN00290,1型六角螺母(左螺纹),6级,CP05T3040,GB/T 6170-2015,S1,QA3,M52,个,,Kg,
SBN00291,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M8,个,,Kg,
SBN00292,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M10,个,,Kg,
SBN00293,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M12,个,,Kg,
SBN00294,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M14,个,,Kg,
SBN00295,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M24,个,,Kg,
SBN00296,2型六角螺母,6级,CP05T3040,GB/T 6175-2000,S1,QA3,M27,个,,Kg,
SBN00312,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M5,个,,Kg,
SBN00313,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M6,个,,Kg,
SBN00314,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M8,个,,Kg,
SBN00315,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M10,个,,Kg,
SBN00316,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M12,个,,Kg,
SBN00317,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M14,个,,Kg,
SBN00318,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M16,个,,Kg,
SBN00319,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M20,个,,Kg,
SBN00320,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M24,个,,Kg,
SBN00321,扣紧螺母,65Mn,CP05T3040,GB 805-1988,S1,QA3,M30,个,,Kg,
